City Number,City,Lat,Lon,Temp,Humidity,Cloudiness,Wind Speed,Country
385,marsa matruh,31.3525,27.2453,75.2,83,20,6.93,EG
386,rongcheng,30.634,117.8517,78.85,88,99,4.52,CN
387,muzhi,65.3667,64.6667,68.86,75,44,1.19,RU
388,mahebourg,-20.4081,57.7,69.8,83,75,12.75,MU
389,ekhabi,53.5102,142.9671,52.97,86,100,8.72,RU
390,itamaraca,-7.7478,-34.8256,77.0,88,20,4.7,BR
391,beidao,34.5686,105.8933,80.74,34,83,0.72,CN
392,nhulunbuy,-12.2333,136.7667,82.4,65,75,17.22,AU
393,havre-saint-pierre,50.2334,-63.5986,59.0,93,90,2.24,CA
394,tura,25.5198,90.2201,75.79,88,99,5.77,IN
395,udachnyy,66.4167,112.4,60.8,55,97,11.18,RU
396,senanga,-16.1167,23.2667,52.45,46,0,5.37,ZM
397,kampot,10.6167,104.1833,82.4,88,20,4.59,KH
398,watertown,42.3709,-71.1828,80.01,78,75,5.82,US
399,sobinka,55.9855,40.0111,66.96,92,100,8.32,RU
400,sao filipe,14.8961,-24.4956,78.03,85,1,11.56,CV
401,sambava,-14.2667,50.1667,72.57,85,95,15.46,MG
402,hovd,48.0056,91.6419,57.74,47,100,5.75,MN
403,sungaipenuh,-2.0833,101.3833,65.93,70,100,1.57,ID
404,boguchany,58.3814,97.4531,61.9,76,90,10.94,RU
405,cheyenne,41.14,-104.8203,87.8,7,1,11.41,US
406,balkanabat,39.5108,54.3671,84.54,18,0,4.36,TM
407,ginir,7.1333,40.7,57.85,54,100,9.06,ET
408,charlestown,-32.95,151.6667,64.99,75,9,2.01,AU
409,mezen,65.8522,44.24,63.91,96,96,1.66,RU
410,hanna,51.6334,-111.9018,61.0,70,100,7.0,CA
411,the valley,18.217,-63.0578,84.2,74,20,11.41,AI
412,cerro cama,9.03,-79.905,79.0,78,100,4.23,PA
413,santiago del estero,-27.7951,-64.2615,49.12,52,0,5.53,AR
414,hearst,49.6835,-83.6665,76.68,45,39,6.29,CA
415,west wendover,40.7391,-114.0733,87.8,10,1,8.05,US
416,blythe,33.6103,-114.5964,109.4,5,75,17.22,US
417,balkhash,46.844,74.9804,71.15,45,67,15.57,KZ
418,bydgoszcz,53.1235,18.0076,53.01,93,0,2.24,PL
419,manggar,-2.8833,108.2667,80.02,82,100,13.98,ID
420,kasama,-10.2129,31.1808,50.81,61,0,3.74,ZM
421,myitkyina,25.3833,97.4,74.01,93,100,1.83,MM
